model,subject,sim_within_subject,trial,choice
repetition,102,0,69,0
wsls,102,0,69,0
repetition,102,0,70,0
wsls,102,0,70,0
repetition,102,0,71,0
wsls,102,0,71,0
repetition,102,0,72,0
wsls,102,0,72,1
repetition,102,0,73,0
wsls,102,0,73,0
repetition,102,0,74,0
wsls,102,0,74,1
repetition,102,0,75,0
wsls,102,0,75,1
repetition,102,0,76,0
wsls,102,0,76,0
repetition,102,0,77,0
wsls,102,0,77,0
repetition,102,0,78,0
wsls,102,0,78,0
repetition,102,0,79,0
wsls,102,0,79,0
repetition,102,0,80,0
wsls,102,0,80,0
repetition,102,0,81,0
wsls,102,0,81,1
repetition,102,0,82,0
wsls,102,0,82,0
repetition,102,0,83,0
wsls,102,0,83,1
repetition,102,0,84,0
wsls,102,0,84,0
repetition,102,0,85,0
wsls,102,0,85,1
repetition,102,0,86,1
wsls,102,0,86,1
repetition,102,0,87,1
wsls,102,0,87,0
repetition,102,0,88,1
wsls,102,0,88,0
repetition,102,0,89,1
wsls,102,0,89,0
repetition,102,0,90,1
wsls,102,0,90,1
repetition,102,0,91,1
wsls,102,0,91,0
repetition,102,0,92,1
wsls,102,0,92,1
repetition,102,0,93,1
wsls,102,0,93,0
repetition,102,0,94,1
wsls,102,0,94,1
repetition,102,0,95,0
wsls,102,0,95,1
repetition,102,0,96,0
wsls,102,0,96,0
repetition,102,0,97,0
wsls,102,0,97,1
repetition,102,0,98,0
wsls,102,0,98,0
repetition,102,0,99,0
wsls,102,0,99,1
repetition,102,0,100,0
wsls,102,0,100,0
repetition,102,0,101,0
wsls,102,0,101,1
repetition,102,0,102,0
wsls,102,0,102,0
repetition,102,0,103,0
wsls,102,0,103,0
repetition,102,0,104,0
wsls,102,0,104,1
repetition,102,0,105,0
wsls,102,0,105,1
repetition,102,0,106,0
wsls,102,0,106,1
repetition,102,0,107,0
wsls,102,0,107,1
repetition,102,0,108,0
wsls,102,0,108,1
repetition,102,0,109,0
wsls,102,0,109,0
repetition,102,0,110,0
wsls,102,0,110,1
repetition,102,0,111,0
wsls,102,0,111,1
repetition,102,0,112,0
wsls,102,0,112,0
repetition,102,0,113,0
wsls,102,0,113,1
repetition,102,0,114,0
wsls,102,0,114,1
repetition,102,0,115,0
wsls,102,0,115,0
repetition,102,0,116,0
wsls,102,0,116,0
repetition,102,0,117,0
wsls,102,0,117,0
repetition,102,0,118,0
wsls,102,0,118,1
repetition,102,0,119,0
wsls,102,0,119,1
repetition,102,0,120,0
wsls,102,0,120,0
repetition,102,0,121,0
wsls,102,0,121,0
repetition,102,0,122,0
wsls,102,0,122,0
repetition,102,0,123,0
wsls,102,0,123,0
repetition,102,0,124,0
wsls,102,0,124,0
repetition,102,0,125,0
wsls,102,0,125,0
repetition,102,0,126,0
wsls,102,0,126,1
repetition,102,0,127,0
wsls,102,0,127,1
repetition,102,0,128,0
wsls,102,0,128,1
repetition,102,0,129,0
wsls,102,0,129,1
repetition,102,0,130,0
wsls,102,0,130,1
repetition,102,0,131,0
wsls,102,0,131,0
repetition,102,0,132,0
wsls,102,0,132,1
repetition,102,0,133,0
wsls,102,0,133,1
repetition,102,0,134,0
wsls,102,0,134,0
repetition,102,0,135,0
wsls,102,0,135,1
repetition,102,0,136,0
wsls,102,0,136,1
repetition,102,0,137,0
wsls,102,0,137,1
repetition,102,0,138,0
wsls,102,0,138,0
repetition,102,0,139,0
wsls,102,0,139,1
repetition,102,0,140,0
wsls,102,0,140,1
repetition,102,1,1,1
wsls,102,1,1,0
repetition,102,1,2,1
wsls,102,1,2,1
repetition,102,1,3,1
wsls,102,1,3,1
repetition,102,1,4,1
wsls,102,1,4,0
repetition,102,1,5,1
wsls,102,1,5,1
repetition,102,1,6,1
wsls,102,1,6,1
repetition,102,1,7,1
wsls,102,1,7,0
repetition,102,1,8,1
wsls,102,1,8,0
repetition,102,1,9,1
wsls,102,1,9,0
repetition,102,1,10,1
wsls,102,1,10,0
repetition,102,1,11,1
wsls,102,1,11,1
repetition,102,1,12,1
wsls,102,1,12,0
repetition,102,1,13,1
wsls,102,1,13,1
repetition,102,1,14,1
wsls,102,1,14,0
repetition,102,1,15,1
wsls,102,1,15,0
repetition,102,1,16,1
wsls,102,1,16,0
repetition,102,1,17,1
wsls,102,1,17,0
repetition,102,1,18,1
wsls,102,1,18,1
repetition,102,1,19,1
wsls,102,1,19,1
repetition,102,1,20,1
wsls,102,1,20,0
repetition,102,1,21,1
wsls,102,1,21,1
repetition,102,1,22,1
wsls,102,1,22,1
repetition,102,1,23,1
wsls,102,1,23,1
repetition,102,1,24,1
wsls,102,1,24,1
repetition,102,1,25,1
wsls,102,1,25,1
repetition,102,1,26,1
wsls,102,1,26,1
repetition,102,1,27,1
wsls,102,1,27,0
repetition,102,1,28,1
wsls,102,1,28,1
repetition,102,1,29,1
wsls,102,1,29,0
repetition,102,1,30,1
wsls,102,1,30,1
repetition,102,1,31,1
wsls,102,1,31,0
repetition,102,1,32,1
wsls,102,1,32,0
repetition,102,1,33,1
wsls,102,1,33,1
repetition,102,1,34,1
wsls,102,1,34,0
repetition,102,1,35,1
wsls,102,1,35,1
repetition,102,1,36,1
wsls,102,1,36,1
repetition,102,1,37,1
wsls,102,1,37,0
repetition,102,1,38,1
wsls,102,1,38,0
repetition,102,1,39,1
wsls,102,1,39,1
repetition,102,1,40,1
wsls,102,1,40,1
repetition,102,1,41,1
wsls,102,1,41,1
repetition,102,1,42,1
wsls,102,1,42,1
repetition,102,1,43,1
wsls,102,1,43,0
repetition,102,1,44,1
wsls,102,1,44,1
repetition,102,1,45,1
wsls,102,1,45,1
repetition,102,1,46,1
wsls,102,1,46,1
repetition,102,1,47,1
wsls,102,1,47,1
repetition,102,1,48,1
wsls,102,1,48,0
repetition,102,1,49,1
wsls,102,1,49,0
repetition,102,1,50,1
wsls,102,1,50,1
repetition,102,1,51,1
wsls,102,1,51,1
repetition,102,1,52,1
wsls,102,1,52,1
repetition,102,1,53,1
wsls,102,1,53,1
repetition,102,1,54,1
wsls,102,1,54,1
repetition,102,1,55,1
wsls,102,1,55,0
repetition,102,1,56,1
wsls,102,1,56,1
repetition,102,1,57,1
wsls,102,1,57,0
repetition,102,1,58,1
wsls,102,1,58,1
repetition,102,1,59,1
wsls,102,1,59,1
repetition,102,1,60,1
wsls,102,1,60,1
repetition,102,1,61,1
wsls,102,1,61,0
repetition,102,1,62,1
wsls,102,1,62,0
repetition,102,1,63,1
wsls,102,1,63,1
repetition,102,1,64,1
wsls,102,1,64,1
repetition,102,1,65,1
wsls,102,1,65,0
repetition,102,1,66,1
wsls,102,1,66,0
repetition,102,1,67,1
wsls,102,1,67,1
repetition,102,1,68,1
wsls,102,1,68,1
repetition,102,1,69,1
wsls,102,1,69,1
repetition,102,1,70,1
wsls,102,1,70,1
repetition,102,1,71,1
wsls,102,1,71,1
repetition,102,1,72,1
wsls,102,1,72,1
repetition,102,1,73,1
wsls,102,1,73,0
repetition,102,1,74,1
wsls,102,1,74,0
repetition,102,1,75,1
wsls,102,1,75,0
repetition,102,1,76,1
wsls,102,1,76,1
repetition,102,1,77,1
wsls,102,1,77,1
repetition,102,1,78,1
wsls,102,1,78,1
repetition,102,1,79,1
wsls,102,1,79,1
repetition,102,1,80,1
wsls,102,1,80,0
repetition,102,1,81,1
wsls,102,1,81,0
repetition,102,1,82,1
wsls,102,1,82,1
repetition,102,1,83,1
wsls,102,1,83,0
repetition,102,1,84,1
wsls,102,1,84,1
repetition,102,1,85,1
wsls,102,1,85,0
repetition,102,1,86,1
wsls,102,1,86,0
repetition,102,1,87,1
wsls,102,1,87,0
repetition,102,1,88,1
wsls,102,1,88,1
repetition,102,1,89,1
wsls,102,1,89,1
repetition,102,1,90,1
wsls,102,1,90,0
repetition,102,1,91,1
wsls,102,1,91,1
repetition,102,1,92,1
wsls,102,1,92,0
repetition,102,1,93,1
wsls,102,1,93,0
repetition,102,1,94,1
wsls,102,1,94,1
repetition,102,1,95,1
wsls,102,1,95,0
repetition,102,1,96,1
wsls,102,1,96,0
repetition,102,1,97,1
wsls,102,1,97,0
repetition,102,1,98,1
wsls,102,1,98,1
repetition,102,1,99,1
wsls,102,1,99,1
repetition,102,1,100,1
wsls,102,1,100,1
repetition,102,1,101,1
wsls,102,1,101,0
repetition,102,1,102,1
wsls,102,1,102,0
repetition,102,1,103,1
wsls,102,1,103,0
repetition,102,1,104,1
wsls,102,1,104,1
repetition,102,1,105,1
wsls,102,1,105,1
repetition,102,1,106,1
wsls,102,1,106,1
repetition,102,1,107,1
wsls,102,1,107,1
repetition,102,1,108,1
wsls,102,1,108,1
repetition,102,1,109,1
wsls,102,1,109,0
repetition,102,1,110,1
wsls,102,1,110,0
repetition,102,1,111,1
wsls,102,1,111,1
repetition,102,1,112,1
wsls,102,1,112,1
repetition,102,1,113,1
wsls,102,1,113,1
repetition,102,1,114,1
wsls,102,1,114,1
repetition,102,1,115,1
wsls,102,1,115,1
repetition,102,1,116,1
wsls,102,1,116,0
repetition,102,1,117,1
wsls,102,1,117,0
repetition,102,1,118,1
wsls,102,1,118,1
repetition,102,1,119,1
wsls,102,1,119,1
repetition,102,1,120,1
wsls,102,1,120,1
repetition,102,1,121,1
wsls,102,1,121,1
repetition,102,1,122,1
wsls,102,1,122,1
repetition,102,1,123,1
wsls,102,1,123,1
repetition,102,1,124,1
wsls,102,1,124,1
repetition,102,1,125,1
wsls,102,1,125,0
repetition,102,1,126,1
wsls,102,1,126,1
repetition,102,1,127,1
wsls,102,1,127,1
repetition,102,1,128,1
wsls,102,1,128,0
repetition,102,1,129,1
wsls,102,1,129,1
repetition,102,1,130,1
wsls,102,1,130,0
repetition,102,1,131,1
wsls,102,1,131,0
repetition,102,1,132,1
wsls,102,1,132,0
repetition,102,1,133,1
wsls,102,1,133,1
repetition,102,1,134,1
wsls,102,1,134,0
repetition,102,1,135,1
wsls,102,1,135,1
repetition,102,1,136,1
wsls,102,1,136,0
repetition,102,1,137,1
wsls,102,1,137,0
repetition,102,1,138,1
wsls,102,1,138,1
repetition,102,1,139,1
wsls,102,1,139,0
repetition,102,1,140,1
wsls,102,1,140,0
repetition,102,2,1,1
wsls,102,2,1,1
repetition,102,2,2,1
wsls,102,2,2,0
repetition,102,2,3,1
wsls,102,2,3,0
repetition,102,2,4,1
wsls,102,2,4,0
repetition,102,2,5,1
wsls,102,2,5,1
repetition,102,2,6,1
wsls,102,2,6,1
repetition,102,2,7,1
wsls,102,2,7,1
repetition,102,2,8,1
wsls,102,2,8,1
repetition,102,2,9,1
wsls,102,2,9,1
repetition,102,2,10,1
wsls,102,2,10,0
repetition,102,2,11,1
wsls,102,2,11,0
repetition,102,2,12,1
wsls,102,2,12,1
repetition,102,2,13,1
wsls,102,2,13,1
repetition,102,2,14,1
wsls,102,2,14,0
repetition,102,2,15,1
wsls,102,2,15,1
repetition,102,2,16,1
wsls,102,2,16,1
repetition,102,2,17,1
wsls,102,2,17,1
repetition,102,2,18,1
wsls,102,2,18,1
repetition,102,2,19,1
wsls,102,2,19,1
repetition,102,2,20,1
wsls,102,2,20,0
repetition,102,2,21,1
wsls,102,2,21,1
repetition,102,2,22,1
wsls,102,2,22,0
repetition,102,2,23,1
wsls,102,2,23,0
repetition,102,2,24,1
wsls,102,2,24,0
repetition,102,2,25,1
wsls,102,2,25,1
repetition,102,2,26,1
wsls,102,2,26,0
repetition,102,2,27,1
wsls,102,2,27,0
repetition,102,2,28,1
wsls,102,2,28,0
repetition,102,2,29,1
wsls,102,2,29,0
repetition,102,2,30,1
wsls,102,2,30,1
repetition,102,2,31,1
wsls,102,2,31,1
repetition,102,2,32,1
wsls,102,2,32,1
repetition,102,2,33,1
wsls,102,2,33,1
repetition,102,2,34,1
wsls,102,2,34,1
repetition,102,2,35,1
wsls,102,2,35,1
repetition,102,2,36,1
wsls,102,2,36,0
repetition,102,2,37,1
wsls,102,2,37,1
repetition,102,2,38,1
wsls,102,2,38,0
repetition,102,2,39,1
wsls,102,2,39,0
repetition,102,2,40,1
wsls,102,2,40,0
repetition,102,2,41,1
wsls,102,2,41,0
repetition,102,2,42,1
wsls,102,2,42,0
repetition,102,2,43,1
wsls,102,2,43,0
repetition,102,2,44,1
wsls,102,2,44,0
repetition,102,2,45,1
wsls,102,2,45,0
repetition,102,2,46,1
wsls,102,2,46,1
repetition,102,2,47,1
wsls,102,2,47,1
repetition,102,2,48,1
wsls,102,2,48,0
repetition,102,2,49,1
wsls,102,2,49,1
repetition,102,2,50,1
wsls,102,2,50,1
repetition,102,2,51,1
wsls,102,2,51,1
repetition,102,2,52,1
wsls,102,2,52,0
repetition,102,2,53,1
wsls,102,2,53,1
repetition,102,2,54,1
wsls,102,2,54,1
repetition,102,2,55,1
wsls,102,2,55,0
repetition,102,2,56,1
wsls,102,2,56,1
repetition,102,2,57,1
wsls,102,2,57,1
repetition,102,2,58,1
wsls,102,2,58,0
repetition,102,2,59,1
wsls,102,2,59,0
repetition,102,2,60,1
wsls,102,2,60,1
repetition,102,2,61,1
wsls,102,2,61,0
repetition,102,2,62,1
wsls,102,2,62,0
repetition,102,2,63,1
wsls,102,2,63,0
repetition,102,2,64,1
wsls,102,2,64,1
repetition,102,2,65,1
wsls,102,2,65,0
repetition,102,2,66,1
wsls,102,2,66,0
repetition,102,2,67,1
wsls,102,2,67,0
repetition,102,2,68,1
wsls,102,2,68,1
repetition,102,2,69,1
wsls,102,2,69,1
repetition,102,2,70,1
wsls,102,2,70,0
repetition,102,2,71,1
wsls,102,2,71,1
repetition,102,2,72,1
wsls,102,2,72,0
repetition,102,2,73,1
wsls,102,2,73,0
repetition,102,2,74,1
wsls,102,2,74,0
repetition,102,2,75,1
wsls,102,2,75,1
repetition,102,2,76,1
wsls,102,2,76,0
repetition,102,2,77,1
wsls,102,2,77,0
repetition,102,2,78,1
wsls,102,2,78,0
repetition,102,2,79,1
wsls,102,2,79,1
repetition,102,2,80,1
wsls,102,2,80,1
repetition,102,2,81,1
wsls,102,2,81,0
repetition,102,2,82,1
wsls,102,2,82,1
repetition,102,2,83,1
wsls,102,2,83,0
repetition,102,2,84,1
wsls,102,2,84,1
repetition,102,2,85,1
wsls,102,2,85,0
repetition,102,2,86,1
wsls,102,2,86,0
repetition,102,2,87,1
wsls,102,2,87,0
repetition,102,2,88,1
wsls,102,2,88,1
repetition,102,2,89,1
wsls,102,2,89,1
repetition,102,2,90,1
wsls,102,2,90,1
repetition,102,2,91,1
wsls,102,2,91,0
repetition,102,2,92,1
wsls,102,2,92,1
repetition,102,2,93,1
wsls,102,2,93,1
repetition,102,2,94,1
wsls,102,2,94,1
repetition,102,2,95,1
wsls,102,2,95,0
repetition,102,2,96,1
wsls,102,2,96,0
repetition,102,2,97,1
wsls,102,2,97,0
repetition,102,2,98,1
wsls,102,2,98,1
repetition,102,2,99,1
wsls,102,2,99,1
repetition,102,2,100,1
wsls,102,2,100,1
repetition,102,2,101,1
wsls,102,2,101,1
repetition,102,2,102,1
wsls,102,2,102,1
repetition,102,2,103,1
wsls,102,2,103,0
repetition,102,2,104,1
wsls,102,2,104,0
repetition,102,2,105,1
wsls,102,2,105,0
repetition,102,2,106,1
wsls,102,2,106,1
repetition,102,2,107,1
wsls,102,2,107,0
repetition,102,2,108,1
wsls,102,2,108,1
repetition,102,2,109,1
wsls,102,2,109,1
repetition,102,2,110,1
wsls,102,2,110,1
repetition,102,2,111,1
wsls,102,2,111,1
repetition,102,2,112,1
wsls,102,2,112,0
repetition,102,2,113,1
wsls,102,2,113,0
repetition,102,2,114,1
wsls,102,2,114,1
repetition,102,2,115,1
wsls,102,2,115,0
repetition,102,2,116,1
wsls,102,2,116,0
repetition,102,2,117,1
wsls,102,2,117,0
repetition,102,2,118,1
wsls,102,2,118,0
repetition,102,2,119,1
wsls,102,2,119,0
repetition,102,2,120,1
wsls,102,2,120,0
repetition,102,2,121,1
wsls,102,2,121,1
repetition,102,2,122,1
wsls,102,2,122,0
repetition,102,2,123,1
wsls,102,2,123,0
repetition,102,2,124,1
wsls,102,2,124,1
repetition,102,2,125,1
wsls,102,2,125,1
repetition,102,2,126,1
wsls,102,2,126,0
repetition,102,2,127,1
wsls,102,2,127,0
repetition,102,2,128,1
wsls,102,2,128,1
repetition,102,2,129,1
wsls,102,2,129,1
repetition,102,2,130,1
wsls,102,2,130,0
repetition,102,2,131,1
wsls,102,2,131,0
repetition,102,2,132,1
wsls,102,2,132,0
repetition,102,2,133,1
wsls,102,2,133,1
repetition,102,2,134,1
wsls,102,2,134,1
repetition,102,2,135,1
wsls,102,2,135,0
repetition,102,2,136,1
wsls,102,2,136,1
repetition,102,2,137,1
wsls,102,2,137,1
repetition,102,2,138,1
wsls,102,2,138,0
repetition,102,2,139,1
wsls,102,2,139,1
repetition,102,2,140,1
wsls,102,2,140,1
repetition,102,3,1,0
wsls,102,3,1,0
repetition,102,3,2,0
wsls,102,3,2,1
repetition,102,3,3,0
wsls,102,3,3,0
repetition,102,3,4,0
wsls,102,3,4,1
repetition,102,3,5,0
wsls,102,3,5,0
repetition,102,3,6,0
wsls,102,3,6,1
repetition,102,3,7,0
wsls,102,3,7,1
repetition,102,3,8,0
wsls,102,3,8,1
repetition,102,3,9,0
wsls,102,3,9,1
repetition,102,3,10,0
wsls,102,3,10,1
repetition,102,3,11,0
wsls,102,3,11,1
repetition,102,3,12,0
wsls,102,3,12,0
repetition,102,3,13,0
wsls,102,3,13,0
repetition,102,3,14,0
wsls,102,3,14,1
repetition,102,3,15,0
wsls,102,3,15,1
repetition,102,3,16,0
wsls,102,3,16,1
repetition,102,3,17,0
wsls,102,3,17,1
repetition,102,3,18,0
wsls,102,3,18,0
repetition,102,3,19,0
wsls,102,3,19,1
repetition,102,3,20,0
wsls,102,3,20,1
repetition,102,3,21,0
wsls,102,3,21,1
repetition,102,3,22,0
wsls,102,3,22,0
repetition,102,3,23,0
wsls,102,3,23,1
repetition,102,3,24,0
wsls,102,3,24,1
repetition,102,3,25,0
wsls,102,3,25,0
repetition,102,3,26,0
wsls,102,3,26,0
repetition,102,3,27,0
wsls,102,3,27,0
repetition,102,3,28,0
wsls,102,3,28,0
repetition,102,3,29,0
wsls,102,3,29,0
repetition,102,3,30,0
wsls,102,3,30,1
repetition,102,3,31,0
wsls,102,3,31,1
repetition,102,3,32,0
wsls,102,3,32,0
repetition,102,3,33,0
wsls,102,3,33,1
repetition,102,3,34,0
wsls,102,3,34,1
repetition,102,3,35,0
wsls,102,3,35,1
repetition,102,3,36,0
wsls,102,3,36,0
repetition,102,3,37,0
wsls,102,3,37,0
repetition,102,3,38,0
wsls,102,3,38,0
repetition,102,3,39,0
wsls,102,3,39,1
repetition,102,3,40,0
wsls,102,3,40,1
repetition,102,3,41,0
wsls,102,3,41,1
repetition,102,3,42,0
wsls,102,3,42,1
repetition,102,3,43,0
wsls,102,3,43,1
repetition,102,3,44,0
wsls,102,3,44,0
repetition,102,3,45,0
wsls,102,3,45,1
repetition,102,3,46,0
wsls,102,3,46,0
repetition,102,3,47,0
wsls,102,3,47,0
repetition,102,3,48,0
wsls,102,3,48,0
repetition,102,3,49,0
wsls,102,3,49,1
repetition,102,3,50,0
wsls,102,3,50,0
repetition,102,3,51,0
wsls,102,3,51,0
repetition,102,3,52,0
wsls,102,3,52,1
repetition,102,3,53,0
wsls,102,3,53,0
repetition,102,3,54,0
wsls,102,3,54,0
repetition,102,3,55,0
wsls,102,3,55,0
repetition,102,3,56,0
wsls,102,3,56,0
repetition,102,3,57,0
wsls,102,3,57,1
repetition,102,3,58,0
wsls,102,3,58,0
repetition,102,3,59,0
wsls,102,3,59,1
repetition,102,3,60,0
wsls,102,3,60,1
repetition,102,3,61,0
wsls,102,3,61,1
repetition,102,3,62,0
wsls,102,3,62,1
repetition,102,3,63,0
wsls,102,3,63,1
repetition,102,3,64,0
wsls,102,3,64,0
repetition,102,3,65,0
wsls,102,3,65,0
repetition,102,3,66,0
wsls,102,3,66,0
repetition,102,3,67,0
wsls,102,3,67,0
repetition,102,3,68,0
wsls,102,3,68,1
repetition,102,3,69,0
wsls,102,3,69,1
repetition,102,3,70,0
wsls,102,3,70,0
repetition,102,3,71,0
wsls,102,3,71,0
repetition,102,3,72,0
wsls,102,3,72,1
repetition,102,3,73,0
wsls,102,3,73,0
repetition,102,3,74,0
wsls,102,3,74,0
repetition,102,3,75,0
wsls,102,3,75,0
repetition,102,3,76,0
wsls,102,3,76,0
repetition,102,3,77,0
wsls,102,3,77,1
repetition,102,3,78,0
wsls,102,3,78,0
repetition,102,3,79,0
wsls,102,3,79,0
repetition,102,3,80,0
wsls,102,3,80,1
repetition,102,3,81,0
wsls,102,3,81,0
repetition,102,3,82,0
wsls,102,3,82,0
repetition,102,3,83,0
wsls,102,3,83,0
repetition,102,3,84,0
wsls,102,3,84,1
repetition,102,3,85,0
wsls,102,3,85,1
repetition,102,3,86,0
wsls,102,3,86,0
repetition,102,3,87,0
wsls,102,3,87,1
repetition,102,3,88,0
wsls,102,3,88,1
repetition,102,3,89,0
wsls,102,3,89,0
repetition,102,3,90,0
wsls,102,3,90,0
repetition,102,3,91,0
wsls,102,3,91,1
repetition,102,3,92,0
wsls,102,3,92,0
repetition,102,3,93,0
wsls,102,3,93,0
repetition,102,3,94,0
wsls,102,3,94,1
repetition,102,3,95,0
wsls,102,3,95,1
repetition,102,3,96,0
wsls,102,3,96,1
repetition,102,3,97,0
wsls,102,3,97,1
repetition,102,3,98,0
wsls,102,3,98,0
repetition,102,3,99,0
wsls,102,3,99,1
repetition,102,3,100,0
wsls,102,3,100,1
repetition,102,3,101,0
wsls,102,3,101,1
repetition,102,3,102,0
wsls,102,3,102,0
repetition,102,3,103,0
wsls,102,3,103,1
repetition,102,3,104,0
wsls,102,3,104,0
repetition,102,3,105,0
wsls,102,3,105,1
repetition,102,3,106,0
wsls,102,3,106,0
repetition,102,3,107,0
wsls,102,3,107,0
repetition,102,3,108,0
wsls,102,3,108,0
repetition,102,3,109,0
wsls,102,3,109,0
repetition,102,3,110,0
wsls,102,3,110,1
repetition,102,3,111,0
wsls,102,3,111,0
repetition,102,3,112,0
wsls,102,3,112,1
repetition,102,3,113,0
wsls,102,3,113,0
repetition,102,3,114,0
wsls,102,3,114,0
repetition,102,3,115,0
wsls,102,3,115,0
repetition,102,3,116,0
wsls,102,3,116,1
repetition,102,3,117,0
wsls,102,3,117,0
repetition,102,3,118,0
wsls,102,3,118,1
repetition,102,3,119,0
wsls,102,3,119,0
repetition,102,3,120,0
wsls,102,3,120,0
repetition,102,3,121,0
wsls,102,3,121,1
repetition,102,3,122,0
wsls,102,3,122,1
repetition,102,3,123,0
wsls,102,3,123,1
repetition,102,3,124,0
wsls,102,3,124,0
repetition,102,3,125,0
wsls,102,3,125,0
repetition,102,3,126,0
wsls,102,3,126,0
repetition,102,3,127,0
wsls,102,3,127,0
repetition,102,3,128,0
wsls,102,3,128,1
repetition,102,3,129,0
wsls,102,3,129,1
repetition,102,3,130,0
wsls,102,3,130,1
repetition,102,3,131,0
wsls,102,3,131,0
repetition,102,3,132,0
wsls,102,3,132,1
repetition,102,3,133,0
wsls,102,3,133,1
repetition,102,3,134,0
wsls,102,3,134,0
repetition,102,3,135,0
wsls,102,3,135,0
repetition,102,3,136,0
wsls,102,3,136,0
repetition,102,3,137,0
wsls,102,3,137,0
repetition,102,3,138,0
wsls,102,3,138,1
repetition,102,3,139,0
wsls,102,3,139,0
repetition,102,3,140,0
wsls,102,3,140,0
repetition,102,4,1,1
wsls,102,4,1,0
repetition,102,4,2,1
wsls,102,4,2,1
repetition,102,4,3,1
wsls,102,4,3,0
repetition,102,4,4,1
wsls,102,4,4,1
repetition,102,4,5,1
wsls,102,4,5,1
repetition,102,4,6,1
wsls,102,4,6,1
repetition,102,4,7,1
wsls,102,4,7,1
repetition,102,4,8,1
wsls,102,4,8,1
repetition,102,4,9,1
wsls,102,4,9,0
repetition,102,4,10,1
wsls,102,4,10,0
repetition,102,4,11,1
wsls,102,4,11,1
repetition,102,4,12,1
wsls,102,4,12,1
repetition,102,4,13,1
wsls,102,4,13,1
repetition,102,4,14,1
wsls,102,4,14,1
repetition,102,4,15,1
wsls,102,4,15,1
repetition,102,4,16,1
wsls,102,4,16,0
repetition,102,4,17,1
wsls,102,4,17,0
repetition,102,4,18,1
wsls,102,4,18,0
repetition,102,4,19,1
wsls,102,4,19,0
repetition,102,4,20,1
wsls,102,4,20,1
repetition,102,4,21,1
wsls,102,4,21,1
repetition,102,4,22,1
