,Fp,Block,Trial,Stimulus,Cue1_English,Cue2_English,Criterium_English,Response_as numeric output,condition,response_raw
117,101,6,118,20,very much,a little,very high,80,1,very high
118,101,6,119,12,average,average,normal,50,1,normal
119,101,6,120,22,very much,a lot,somewhat high,60,1,somewhat high
120,101,6,121,8,a little,a lot,low,30,1,low
121,101,6,122,1,very little,very little,normal,50,1,normal
122,101,6,123,3,very little,average,low,40,1,somewhat low
123,101,6,124,2,very little,a little,somewhat low,40,1,somewhat low
124,101,6,125,23,very much,very much,normal,50,1,normal
125,101,6,126,9,a little,very much,very low,20,1,very low
126,101,6,127,17,a lot,average,somewhat high,60,1,somewhat high
127,101,6,128,14,average,very much,low,40,1,somewhat low
128,101,6,129,15,a lot,very little,very high,80,1,very high
129,101,6,130,4,very little,a lot,very low,20,1,very low
130,101,6,131,16,a lot,a little,high,70,1,high
131,101,6,132,5,a little,very little,somewhat high,60,1,somewhat high
132,101,6,133,7,a little,average,somewhat low,30,1,low
133,101,6,134,18,a lot,a lot,normal,50,1,normal
134,101,6,135,10,average,very little,high,60,1,somewhat high
135,101,6,136,19,a lot,very much,somewhat low,40,1,somewhat low
136,101,6,137,13,average,a lot,somewhat low,30,1,low
137,101,6,138,11,average,a little,somewhat high,60,1,somewhat high
138,101,7,139,6,a little,a little,normal,50,1,normal
139,101,7,140,19,a lot,very much,somewhat low,40,1,somewhat low
140,101,7,141,18,a lot,a lot,normal,50,1,normal
141,101,7,142,11,average,a little,somewhat high,60,1,somewhat high
142,101,7,143,17,a lot,average,somewhat high,70,1,high
143,101,7,144,4,very little,a lot,very low,40,1,somewhat low
144,101,7,145,12,average,average,normal,50,1,normal
145,101,7,146,8,a little,a lot,low,30,1,low
146,101,7,147,7,a little,average,somewhat low,40,1,somewhat low
147,101,7,148,2,very little,a little,somewhat low,40,1,somewhat low
148,101,7,149,9,a little,very much,very low,20,1,very low
149,101,7,150,5,a little,very little,somewhat high,60,1,somewhat high
150,101,7,151,1,very little,very little,normal,50,1,normal
151,101,7,152,13,average,a lot,somewhat low,40,1,somewhat low
152,101,7,153,14,average,very much,low,30,1,low
153,101,7,154,3,very little,average,low,30,1,low
154,101,7,155,20,very much,a little,very high,80,1,very high
155,101,7,156,10,average,very little,high,70,1,high
156,101,7,157,16,a lot,a little,high,70,1,high
157,101,7,158,22,very much,a lot,somewhat high,60,1,somewhat high
158,101,7,159,15,a lot,very little,very high,60,1,somewhat high
159,101,7,160,21,very much,average,high,70,1,high
160,101,7,161,23,very much,very much,normal,50,1,normal
161,101,8,162,3,very little,average,low,30,1,low
162,101,8,163,18,a lot,a lot,normal,50,1,normal
163,101,8,164,4,very little,a lot,very low,20,1,very low
164,101,8,165,7,a little,average,somewhat low,40,1,somewhat low
165,101,8,166,12,average,average,normal,50,1,normal
166,101,8,167,17,a lot,average,somewhat high,60,1,somewhat high
167,101,8,168,5,a little,very little,somewhat high,70,1,high
168,101,8,169,16,a lot,a little,high,70,1,high
169,101,8,170,15,a lot,very little,very high,80,1,very high
170,101,8,171,6,a little,a little,normal,50,1,normal
171,101,8,172,2,very little,a little,somewhat low,40,1,somewhat low
172,101,8,173,22,very much,a lot,somewhat high,60,1,somewhat high
173,101,8,174,23,very much,very much,normal,50,1,normal
174,101,8,175,1,very little,very little,normal,50,1,normal
175,101,8,176,8,a little,a lot,low,30,1,low
176,101,8,177,20,very much,a little,very high,60,1,somewhat high
177,101,8,178,14,average,very much,low,30,1,low
178,101,8,179,13,average,a lot,somewhat low,40,1,somewhat low
179,101,8,180,21,very much,average,high,70,1,high
180,101,8,181,10,average,very little,high,70,1,high
181,101,8,182,9,a little,very much,very low,20,1,very low
182,101,8,183,11,average,a little,somewhat high,60,1,somewhat high
183,101,8,184,19,a lot,very much,somewhat low,40,1,somewhat low
184,101,9,185,4,very little,a lot,very low,20,1,very low
185,101,9,186,1,very little,very little,normal,50,1,normal
186,101,9,187,12,average,average,normal,50,1,normal
187,101,9,188,6,a little,a little,normal,50,1,normal
188,101,9,189,22,very much,a lot,somewhat high,60,1,somewhat high
189,101,9,190,13,average,a lot,somewhat low,40,1,somewhat low
190,101,9,191,15,a lot,very little,very high,80,1,very high
191,101,9,192,17,a lot,average,somewhat high,60,1,somewhat high
192,101,9,193,21,very much,average,high,70,1,high
193,101,9,194,20,very much,a little,very high,60,1,somewhat high
194,101,9,195,8,a little,a lot,low,30,1,low
195,101,9,196,5,a little,very little,somewhat high,40,1,somewhat low
196,101,9,197,16,a lot,a little,high,70,1,high
197,101,9,198,7,a little,average,somewhat low,40,1,somewhat low
198,101,9,199,2,very little,a little,somewhat low,40,1,somewhat low
199,101,9,200,11,average,a little,somewhat high,60,1,somewhat high
200,101,9,201,14,average,very much,low,30,1,low
201,101,9,202,18,a lot,a lot,normal,50,1,normal
202,101,9,203,23,very much,very much,normal,50,1,normal
203,101,9,204,19,a lot,very much,somewhat low,40,1,somewhat low
204,101,9,205,10,average,very little,high,70,1,high
205,101,9,206,3,very little,average,low,30,1,low
206,101,9,207,9,a little,very much,very low,40,1,somewhat low
207,101,10,208,12,average,average,normal,50,1,normal
208,101,10,209,3,very little,average,low,30,1,low
209,101,10,210,13,average,a lot,somewhat low,40,1,somewhat low
210,101,10,211,23,very much,very much,normal,50,1,normal
211,101,10,212,5,a little,very little,somewhat high,60,1,somewhat high
212,101,10,213,18,a lot,a lot,normal,50,1,normal
213,101,10,214,11,average,a little,somewhat high,60,1,somewhat high
214,101,10,215,16,a lot,a little,high,70,1,high
215,101,10,216,2,very little,a little,somewhat low,40,1,somewhat low
216,101,10,217,6,a little,a little,normal,50,1,normal
217,101,10,218,1,very little,very little,normal,50,1,normal
218,101,10,219,8,a little,a lot,low,30,1,low
219,101,10,220,19,a lot,very much,somewhat low,40,1,somewhat low
220,101,10,221,14,average,very much,low,30,1,low
221,101,10,222,22,very much,a lot,somewhat high,60,1,somewhat high
222,101,10,223,9,a little,very much,very low,20,1,very low
223,101,10,224,17,a lot,average,somewhat high,60,1,somewhat high
224,101,10,225,15,a lot,very little,very high,80,1,very high
225,101,10,226,21,very much,average,high,70,1,high
226,101,10,227,20,very much,a little,very high,60,1,somewhat high
227,101,10,228,4,very little,a lot,very low,40,1,somewhat low
228,101,10,229,7,a little,average,somewhat low,40,1,somewhat low
229,101,10,230,10,average,very little,high,70,1,high
230,101,11,1,7,a little,a little,normal,50,1,normal
231,101,11,2,18,a lot,average,somewhat high,60,1,somewhat high
232,101,11,3,14,average,a lot,somewhat low,40,1,somewhat low
233,101,11,4,4,very little,a lot,very low,20,1,very low
234,101,11,5,12,average,a little,somewhat high,60,1,somewhat high
235,101,11,6,23,very much,average,high,70,1,high
236,101,11,7,21,very much,very little,extremely high,80,1,very high
237,101,11,8,16,a lot,very little,very high,80,1,very high
238,101,11,9,17,a lot,a little,high,70,1,high
239,101,11,10,13,average,average,normal,50,1,normal
240,101,11,11,24,very much,a lot,somewhat high,60,1,somewhat high
241,101,11,12,8,a little,average,somewhat low,30,1,low
242,101,11,13,11,average,very little,high,70,1,high
243,101,11,14,15,average,very much,low,30,1,low
244,101,11,15,19,a lot,a lot,normal,50,1,normal
245,101,11,16,1,very little,very little,normal,50,1,normal
246,101,11,17,25,very much,very much,normal,50,1,normal
247,101,11,18,3,very little,average,low,30,1,low
248,101,11,19,5,very little,very much,extremely low,10,1,extremely low
249,101,11,20,22,very much,a little,very high,80,1,very high
250,101,11,21,20,a lot,very much,somewhat low,40,1,somewhat low
251,101,11,22,10,a little,very much,very low,20,1,very low
252,101,11,23,9,a little,a lot,low,30,1,low
253,101,11,24,2,very little,a little,somewhat low,40,1,somewhat low
254,101,11,25,6,a little,very little,somewhat high,60,1,somewhat high
255,101,12,26,16,a lot,very little,very high,80,1,very high
256,101,12,27,13,average,average,normal,50,1,normal
257,101,12,28,20,a lot,very much,somewhat low,60,1,somewhat high
258,101,12,29,10,a little,very much,very low,20,1,very low
259,101,12,30,1,very little,very little,normal,50,1,normal
260,101,12,31,14,average,a lot,somewhat low,40,1,somewhat low
261,101,12,32,6,a little,very little,somewhat high,60,1,somewhat high
262,101,12,33,23,very much,average,high,70,1,high
263,101,12,34,12,average,a little,somewhat high,60,1,somewhat high
264,101,12,35,24,very much,a lot,somewhat high,60,1,somewhat high
265,101,12,36,19,a lot,a lot,normal,50,1,normal
266,101,12,37,5,very little,very much,extremely low,10,1,extremely low
267,101,12,38,21,very much,very little,extremely high,90,1,extremely high
268,101,12,39,4,very little,a lot,very low,20,1,very low
269,101,12,40,25,very much,very much,normal,50,1,normal
270,101,12,41,7,a little,a little,normal,50,1,normal
271,101,12,42,15,average,very much,low,30,1,low
272,101,12,43,8,a little,average,somewhat low,40,1,somewhat low
273,101,12,44,2,very little,a little,somewhat low,40,1,somewhat low
274,101,12,45,3,very little,average,low,30,1,low
275,101,12,46,22,very much,a little,very high,80,1,very high
276,101,12,47,18,a lot,average,somewhat high,60,1,somewhat high
277,101,12,48,17,a lot,a little,high,70,1,high
278,101,12,49,9,a little,a lot,low,30,1,low
279,101,12,50,11,average,very little,high,70,1,high
280,102,1,1,22,5,4,60,50,2,50
281,102,1,2,10,3,1,70,50,2,50
282,102,1,3,4,1,4,20,60,2,60
283,102,1,4,17,4,3,60,30,2,30
284,102,1,5,8,2,4,30,40,2,40
285,102,1,6,11,3,2,60,80,2,80
286,102,1,7,6,2,2,50,30,2,30
287,102,1,8,13,3,4,40,60,2,60
288,102,1,9,9,2,5,20,40,2,40
289,102,1,10,20,5,2,80,70,2,70
290,102,1,11,19,4,5,40,30,2,30
291,102,1,12,12,3,3,50,70,2,70
292,102,1,13,18,4,4,50,30,2,30
293,102,1,14,16,4,2,70,80,2,80
294,102,1,15,23,5,5,50,50,2,50
295,102,1,16,2,1,2,40,70,2,70
296,102,1,17,3,1,3,30,20,2,20
297,102,1,18,14,3,5,30,90,2,90
298,102,1,19,15,4,1,80,50,2,50
299,102,1,20,21,5,3,70,60,2,60
300,102,1,21,1,1,1,50,50,2,50
301,102,1,22,7,2,3,40,70,2,70
302,102,1,23,5,2,1,60,40,2,40
303,102,2,24,2,1,2,40,70,2,70
304,102,2,25,22,5,4,60,60,2,60
305,102,2,26,20,5,2,80,30,2,30
306,102,2,27,21,5,3,70,80,2,80
307,102,2,28,5,2,1,60,50,2,50
308,102,2,29,23,5,5,50,90,2,90
309,102,2,30,18,4,4,50,30,2,30
310,102,2,31,8,2,4,30,80,2,80
311,102,2,32,17,4,3,60,60,2,60
312,102,2,33,7,2,3,40,80,2,80
313,102,2,34,14,3,5,30,30,2,30
314,102,2,35,12,3,3,50,60,2,60
315,102,2,36,11,3,2,60,70,2,70
316,102,2,37,3,1,3,30,50,2,50
317,102,2,38,9,2,5,20,40,2,40
318,102,2,39,1,1,1,50,80,2,80
319,102,2,40,10,3,1,70,30,2,30
320,102,2,41,16,4,2,70,60,2,60
321,102,2,42,6,2,2,50,60,2,60
322,102,2,43,13,3,4,40,80,2,80
323,102,2,44,19,4,5,40,60,2,60
324,102,2,45,15,4,1,80,40,2,40
325,102,2,46,4,1,4,20,80,2,80
326,102,3,47,16,4,2,70,50,2,50
327,102,3,48,19,4,5,40,70,2,70
328,102,3,49,3,1,3,30,50,2,50
329,102,3,50,8,2,4,30,40,2,40
330,102,3,51,13,3,4,40,80,2,80
331,102,3,52,4,1,4,20,70,2,70
332,102,3,53,14,3,5,30,50,2,50
333,102,3,54,23,5,5,50,50,2,50
334,102,3,55,9,2,5,20,70,2,70
335,102,3,56,5,2,1,60,60,2,60
336,102,3,57,1,1,1,50,80,2,80
337,102,3,58,6,2,2,50,40,2,40
338,102,3,59,7,2,3,40,50,2,50
339,102,3,60,22,5,4,60,60,2,60
340,102,3,61,18,4,4,50,50,2,50
341,102,3,62,15,4,1,80,70,2,70
342,102,3,63,12,3,3,50,50,2,50
343,102,3,64,11,3,2,60,60,2,60
344,102,3,65,2,1,2,40,40,2,40
345,102,3,66,17,4,3,60,70,2,70
346,102,3,67,21,5,3,70,50,2,50
347,102,3,68,20,5,2,80,70,2,70
348,102,3,69,10,3,1,70,30,2,30
349,102,4,70,13,3,4,40,80,2,80
350,102,4,71,17,4,3,60,50,2,50
351,102,4,72,10,3,1,70,30,2,30
352,102,4,73,22,5,4,60,70,2,70
353,102,4,74,19,4,5,40,70,2,70
354,102,4,75,18,4,4,50,30,2,30
355,102,4,76,6,2,2,50,60,2,60
356,102,4,77,21,5,3,70,50,2,50
357,102,4,78,5,2,1,60,80,2,80
358,102,4,79,8,2,4,30,60,2,60
359,102,4,80,15,4,1,80,50,2,50
360,102,4,81,11,3,2,60,40,2,40
361,102,4,82,23,5,5,50,60,2,60
362,102,4,83,14,3,5,30,70,2,70
363,102,4,84,4,1,4,20,50,2,50
364,102,4,85,9,2,5,20,70,2,70
365,102,4,86,3,1,3,30,30,2,30
366,102,4,87,7,2,3,40,40,2,40
367,102,4,88,1,1,1,50,30,2,30
368,102,4,89,12,3,3,50,60,2,60
369,102,4,90,20,5,2,80,60,2,60
370,102,4,91,16,4,2,70,50,2,50
371,102,4,92,2,1,2,40,80,2,80
372,102,5,93,12,3,3,50,40,2,40
373,102,5,94,11,3,2,60,70,2,70
374,102,5,95,8,2,4,30,30,2,30
375,102,5,96,21,5,3,70,70,2,70
376,102,5,97,18,4,4,50,60,2,60
377,102,5,98,19,4,5,40,60,2,60
378,102,5,99,1,1,1,50,40,2,40
379,102,5,100,5,2,1,60,30,2,30
380,102,5,101,16,4,2,70,90,2,90
381,102,5,102,15,4,1,80,60,2,60
382,102,5,103,17,4,3,60,20,2,20
383,102,5,104,6,2,2,50,30,2,30
384,102,5,105,14,3,5,30,20,2,20
385,102,5,106,23,5,5,50,50,2,50
386,102,5,107,22,5,4,60,40,2,40
387,102,5,108,4,1,4,20,10,2,10
388,102,5,109,7,2,3,40,60,2,60
389,102,5,110,3,1,3,30,30,2,30
390,102,5,111,9,2,5,20,20,2,20
391,102,5,112,13,3,4,40,20,2,20
392,102,5,113,10,3,1,70,20,2,20
393,102,5,114,2,1,2,40,60,2,60
394,102,5,115,20,5,2,80,20,2,20
395,102,6,116,21,5,3,70,20,2,20
396,102,6,117,14,3,5,30,20,2,20
397,102,6,118,9,2,5,20,90,2,90
398,102,6,119,15,4,1,80,30,2,30
399,102,6,120,20,5,2,80,30,2,30
400,102,6,121,8,2,4,30,40,2,40
401,102,6,122,12,3,3,50,50,2,50
402,102,6,123,16,4,2,70,60,2,60
403,102,6,124,19,4,5,40,70,2,70
404,102,6,125,6,2,2,50,20,2,20
405,102,6,126,17,4,3,60,20,2,20
406,102,6,127,23,5,5,50,20,2,20
407,102,6,128,1,1,1,50,30,2,30
408,102,6,129,2,1,2,40,30,2,30
409,102,6,130,3,1,3,30,50,2,50
410,102,6,131,22,5,4,60,20,2,20
411,102,6,132,18,4,4,50,20,2,20
412,102,6,133,4,1,4,20,10,2,10
413,102,6,134,7,2,3,40,20,2,20
414,102,6,135,5,2,1,60,60,2,60
415,102,6,136,13,3,4,40,40,2,40
416,102,6,137,10,3,1,70,30,2,30
417,102,6,138,11,3,2,60,30,2,30
418,102,7,139,21,5,3,70,60,2,60
419,102,7,140,10,3,1,70,70,2,70
420,102,7,141,9,2,5,20,60,2,60
421,102,7,142,8,2,4,30,20,2,20
422,102,7,143,15,4,1,80,30,2,30
423,102,7,144,22,5,4,60,40,2,40
424,102,7,145,12,3,3,50,30,2,30
425,102,7,146,11,3,2,60,60,2,60
426,102,7,147,2,1,2,40,30,2,30
427,102,7,148,1,1,1,50,60,2,60
428,102,7,149,17,4,3,60,20,2,20
429,102,7,150,6,2,2,50,30,2,30
430,102,7,151,13,3,4,40,20,2,20
431,102,7,152,14,3,5,30,20,2,20
432,102,7,153,16,4,2,70,30,2,30
433,102,7,154,7,2,3,40,10,2,10
434,102,7,155,20,5,2,80,30,2,30
435,102,7,156,5,2,1,60,20,2,20
436,102,7,157,4,1,4,20,40,2,40
437,102,7,158,3,1,3,30,10,2,10
438,102,7,159,23,5,5,50,10,2,10
439,102,7,160,19,4,5,40,40,2,40
440,102,7,161,18,4,4,50,20,2,20
441,102,8,162,17,4,3,60,10,2,10
442,102,8,163,21,5,3,70,30,2,30
443,102,8,164,13,3,4,40,20,2,20
444,102,8,165,14,3,5,30,20,2,20
445,102,8,166,9,2,5,20,60,2,60
446,102,8,167,4,1,4,20,70,2,70
447,102,8,168,2,1,2,40,60,2,60
448,102,8,169,12,3,3,50,80,2,80
449,102,8,170,16,4,2,70,50,2,50
450,102,8,171,3,1,3,30,40,2,40
451,102,8,172,18,4,4,50,70,2,70
452,102,8,173,10,3,1,70,50,2,50
453,102,8,174,7,2,3,40,70,2,70
454,102,8,175,5,2,1,60,50,2,50
455,102,8,176,6,2,2,50,60,2,60
456,102,8,177,11,3,2,60,50,2,50
457,102,8,178,1,1,1,50,70,2,70
458,102,8,179,22,5,4,60,60,2,60
459,102,8,180,23,5,5,50,50,2,50
460,102,8,181,15,4,1,80,80,2,80
461,102,8,182,20,5,2,80,40,2,40
462,102,8,183,8,2,4,30,60,2,60
463,102,8,184,19,4,5,40,60,2,60
464,102,9,185,17,4,3,60,50,2,50
465,102,9,186,14,3,5,30,70,2,70
466,102,9,187,6,2,2,50,40,2,40
467,102,9,188,21,5,3,70,60,2,60
468,102,9,189,19,4,5,40,50,2,50
469,102,9,190,9,2,5,20,60,2,60
470,102,9,191,2,1,2,40,20,2,20
471,102,9,192,4,1,4,20,70,2,70
472,102,9,193,22,5,4,60,50,2,50
473,102,9,194,10,3,1,70,60,2,60
474,102,9,195,18,4,4,50,70,2,70
475,102,9,196,1,1,1,50,60,2,60
476,102,9,197,7,2,3,40,70,2,70
477,102,9,198,16,4,2,70,70,2,70
478,102,9,199,12,3,3,50,40,2,40
479,102,9,200,5,2,1,60,70,2,70
480,102,9,201,15,4,1,80,50,2,50
481,102,9,202,23,5,5,50,70,2,70
482,102,9,203,11,3,2,60,40,2,40
483,102,9,204,20,5,2,80,80,2,80
484,102,9,205,3,1,3,30,60,2,60
485,102,9,206,13,3,4,40,50,2,50
486,102,9,207,8,2,4,30,60,2,60
487,102,10,208,9,2,5,20,50,2,50
488,102,10,209,8,2,4,30,30,2,30
489,102,10,210,16,4,2,70,60,2,60
490,102,10,211,22,5,4,60,70,2,70
491,102,10,212,2,1,2,40,50,2,50
492,102,10,213,12,3,3,50,60,2,60
493,102,10,214,11,3,2,60,40,2,40
494,102,10,215,15,4,1,80,70,2,70
495,102,10,216,21,5,3,70,60,2,60
496,102,10,217,4,1,4,20,60,2,60
497,102,10,218,3,1,3,30,50,2,50
498,102,10,219,7,2,3,40,80,2,80
499,102,10,220,19,4,5,40,60,2,60
500,102,10,221,20,5,2,80,50,2,50
501,102,10,222,5,2,1,60,70,2,70
502,102,10,223,13,3,4,40,60,2,60
503,102,10,224,6,2,2,50,50,2,50
504,102,10,225,10,3,1,70,70,2,70
505,102,10,226,17,4,3,60,60,2,60
506,102,10,227,23,5,5,50,50,2,50
507,102,10,228,1,1,1,50,40,2,40
508,102,10,229,14,3,5,30,40,2,40
509,102,10,230,18,4,4,50,30,2,30
510,102,11,1,7,2,2,50,70,2,70
511,102,11,2,15,3,5,30,50,2,50
512,102,11,3,11,3,1,70,60,2,60
513,102,11,4,21,5,1,90,60,2,60
514,102,11,5,14,3,4,40,60,2,60
515,102,11,6,20,4,5,40,30,2,30
516,102,11,7,8,2,3,40,30,2,30
517,102,11,8,24,5,4,60,30,2,30
518,102,11,9,17,4,2,70,30,2,30
519,102,11,10,13,3,3,50,20,2,20
520,102,11,11,19,4,4,50,70,2,70
521,102,11,12,18,4,3,60,20,2,20
522,102,11,13,3,1,3,30,30,2,30
523,102,11,14,4,1,4,20,80,2,80
524,102,11,15,10,2,5,20,80,2,80
525,102,11,16,23,5,3,70,50,2,50
526,102,11,17,6,2,1,60,60,2,60
527,102,11,18,22,5,2,80,40,2,40
528,102,11,19,12,3,2,60,40,2,40
529,102,11,20,1,1,1,50,60,2,60
530,102,11,21,25,5,5,50,40,2,40
531,102,11,22,2,1,2,40,50,2,50
532,102,11,23,16,4,1,80,20,2,20
533,102,11,24,5,1,5,10,60,2,60
534,102,11,25,9,2,4,30,40,2,40
535,102,12,26,2,1,2,40,50,2,50
536,102,12,27,21,5,1,90,70,2,70
537,102,12,28,5,1,5,10,70,2,70
538,102,12,29,22,5,2,80,30,2,30
539,102,12,30,11,3,1,70,40,2,40
540,102,12,31,25,5,5,50,50,2,50
541,102,12,32,9,2,4,30,10,2,10
542,102,12,33,17,4,2,70,60,2,60
543,102,12,34,15,3,5,30,80,2,80
544,102,12,35,18,4,3,60,40,2,40
545,102,12,36,16,4,1,80,50,2,50
546,102,12,37,8,2,3,40,40,2,40
547,102,12,38,13,3,3,50,60,2,60
548,102,12,39,14,3,4,40,70,2,70
549,102,12,40,19,4,4,50,30,2,30
550,102,12,41,23,5,3,70,30,2,30
551,102,12,42,1,1,1,50,70,2,70
552,102,12,43,24,5,4,60,60,2,60
553,102,12,44,12,3,2,60,50,2,50
554,102,12,45,4,1,4,20,60,2,60
555,102,12,46,7,2,2,50,70,2,70
556,102,12,47,20,4,5,40,40,2,40
557,102,12,48,6,2,1,60,50,2,50
558,102,12,49,3,1,3,30,60,2,60
559,102,12,50,10,2,5,20,70,2,70
