Fp,Block,Trial,Stimulus,Cue1_English,Cue2_English,Criterium_English,Response_as numeric output,condition,response_raw,Experiment
101,5,102,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,5,103,10,Average,Very little,High,70,1,High,1
101,5,104,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,5,105,9,A little,Very much,Very low,20,1,Very low,1
101,5,106,14,Average,Very much,Low,30,1,Low,1
101,5,107,11,Average,A little,Somewhat high,40,1,Somewhat low,1
101,5,108,23,Very much,Very much,Normal,50,1,Normal,1
101,5,109,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,5,110,20,Very much,A little,Very high,60,1,Somewhat high,1
101,5,111,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,5,112,6,A little,A little,Normal,50,1,Normal,1
101,5,113,21,Very much,Average,High,60,1,Somewhat high,1
101,5,114,16,A lot,A little,High,70,1,High,1
101,5,115,8,A little,A lot,Low,30,1,Low,1
101,6,116,6,A little,A little,Normal,50,1,Normal,1
101,6,117,21,Very much,Average,High,70,1,High,1
101,6,118,20,Very much,A little,Very high,80,1,Very high,1
101,6,119,12,Average,Average,Normal,50,1,Normal,1
101,6,120,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,6,121,8,A little,A lot,Low,30,1,Low,1
101,6,122,1,Very little,Very little,Normal,50,1,Normal,1
101,6,123,3,Very little,Average,Low,40,1,Somewhat low,1
101,6,124,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,6,125,23,Very much,Very much,Normal,50,1,Normal,1
101,6,126,9,A little,Very much,Very low,20,1,Very low,1
101,6,127,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,6,128,14,Average,Very much,Low,40,1,Somewhat low,1
101,6,129,15,A lot,Very little,Very high,80,1,Very high,1
101,6,130,4,Very little,A lot,Very low,20,1,Very low,1
101,6,131,16,A lot,A little,High,70,1,High,1
101,6,132,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,6,133,7,A little,Average,Somewhat low,30,1,Low,1
101,6,134,18,A lot,A lot,Normal,50,1,Normal,1
101,6,135,10,Average,Very little,High,60,1,Somewhat high,1
101,6,136,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,6,137,13,Average,A lot,Somewhat low,30,1,Low,1
101,6,138,11,Average,A little,Somewhat high,60,1,Somewhat high,1
101,7,139,6,A little,A little,Normal,50,1,Normal,1
101,7,140,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,7,141,18,A lot,A lot,Normal,50,1,Normal,1
101,7,142,11,Average,A little,Somewhat high,60,1,Somewhat high,1
101,7,143,17,A lot,Average,Somewhat high,70,1,High,1
101,7,144,4,Very little,A lot,Very low,40,1,Somewhat low,1
101,7,145,12,Average,Average,Normal,50,1,Normal,1
101,7,146,8,A little,A lot,Low,30,1,Low,1
101,7,147,7,A little,Average,Somewhat low,40,1,Somewhat low,1
101,7,148,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,7,149,9,A little,Very much,Very low,20,1,Very low,1
101,7,150,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,7,151,1,Very little,Very little,Normal,50,1,Normal,1
101,7,152,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,7,153,14,Average,Very much,Low,30,1,Low,1
101,7,154,3,Very little,Average,Low,30,1,Low,1
101,7,155,20,Very much,A little,Very high,80,1,Very high,1
101,7,156,10,Average,Very little,High,70,1,High,1
101,7,157,16,A lot,A little,High,70,1,High,1
101,7,158,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,7,159,15,A lot,Very little,Very high,60,1,Somewhat high,1
101,7,160,21,Very much,Average,High,70,1,High,1
101,7,161,23,Very much,Very much,Normal,50,1,Normal,1
101,8,162,3,Very little,Average,Low,30,1,Low,1
101,8,163,18,A lot,A lot,Normal,50,1,Normal,1
101,8,164,4,Very little,A lot,Very low,20,1,Very low,1
101,8,165,7,A little,Average,Somewhat low,40,1,Somewhat low,1
101,8,166,12,Average,Average,Normal,50,1,Normal,1
101,8,167,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,8,168,5,A little,Very little,Somewhat high,70,1,High,1
101,8,169,16,A lot,A little,High,70,1,High,1
101,8,170,15,A lot,Very little,Very high,80,1,Very high,1
101,8,171,6,A little,A little,Normal,50,1,Normal,1
101,8,172,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,8,173,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,8,174,23,Very much,Very much,Normal,50,1,Normal,1
101,8,175,1,Very little,Very little,Normal,50,1,Normal,1
101,8,176,8,A little,A lot,Low,30,1,Low,1
101,8,177,20,Very much,A little,Very high,60,1,Somewhat high,1
101,8,178,14,Average,Very much,Low,30,1,Low,1
101,8,179,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,8,180,21,Very much,Average,High,70,1,High,1
101,8,181,10,Average,Very little,High,70,1,High,1
101,8,182,9,A little,Very much,Very low,20,1,Very low,1
101,8,183,11,Average,A little,Somewhat high,60,1,Somewhat high,1
101,8,184,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,9,185,4,Very little,A lot,Very low,20,1,Very low,1
101,9,186,1,Very little,Very little,Normal,50,1,Normal,1
101,9,187,12,Average,Average,Normal,50,1,Normal,1
101,9,188,6,A little,A little,Normal,50,1,Normal,1
101,9,189,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,9,190,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,9,191,15,A lot,Very little,Very high,80,1,Very high,1
101,9,192,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,9,193,21,Very much,Average,High,70,1,High,1
101,9,194,20,Very much,A little,Very high,60,1,Somewhat high,1
101,9,195,8,A little,A lot,Low,30,1,Low,1
101,9,196,5,A little,Very little,Somewhat high,40,1,Somewhat low,1
101,9,197,16,A lot,A little,High,70,1,High,1
101,9,198,7,A little,Average,Somewhat low,40,1,Somewhat low,1
101,9,199,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,9,200,11,Average,A little,Somewhat high,60,1,Somewhat high,1
101,9,201,14,Average,Very much,Low,30,1,Low,1
101,9,202,18,A lot,A lot,Normal,50,1,Normal,1
101,9,203,23,Very much,Very much,Normal,50,1,Normal,1
101,9,204,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,9,205,10,Average,Very little,High,70,1,High,1
101,9,206,3,Very little,Average,Low,30,1,Low,1
101,9,207,9,A little,Very much,Very low,40,1,Somewhat low,1
101,10,208,12,Average,Average,Normal,50,1,Normal,1
101,10,209,3,Very little,Average,Low,30,1,Low,1
101,10,210,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,10,211,23,Very much,Very much,Normal,50,1,Normal,1
101,10,212,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,10,213,18,A lot,A lot,Normal,50,1,Normal,1
101,10,214,11,Average,A little,Somewhat high,60,1,Somewhat high,1
101,10,215,16,A lot,A little,High,70,1,High,1
101,10,216,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,10,217,6,A little,A little,Normal,50,1,Normal,1
101,10,218,1,Very little,Very little,Normal,50,1,Normal,1
101,10,219,8,A little,A lot,Low,30,1,Low,1
101,10,220,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,10,221,14,Average,Very much,Low,30,1,Low,1
101,10,222,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,10,223,9,A little,Very much,Very low,20,1,Very low,1
101,10,224,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,10,225,15,A lot,Very little,Very high,80,1,Very high,1
101,10,226,21,Very much,Average,High,70,1,High,1
101,10,227,20,Very much,A little,Very high,60,1,Somewhat high,1
101,10,228,4,Very little,A lot,Very low,40,1,Somewhat low,1
101,10,229,7,A little,Average,Somewhat low,40,1,Somewhat low,1
101,10,230,10,Average,Very little,High,70,1,High,1
101,11,1,7,A little,A little,Normal,50,1,Normal,1
101,11,2,18,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,11,3,14,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,11,4,4,Very little,A lot,Very low,20,1,Very low,1
101,11,5,12,Average,A little,Somewhat high,60,1,Somewhat high,1
101,11,6,23,Very much,Average,High,70,1,High,1
101,11,7,21,Very much,Very little,Extremely high,80,1,Very high,1
101,11,8,16,A lot,Very little,Very high,80,1,Very high,1
101,11,9,17,A lot,A little,High,70,1,High,1
101,11,10,13,Average,Average,Normal,50,1,Normal,1
101,11,11,24,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,11,12,8,A little,Average,Somewhat low,30,1,Low,1
101,11,13,11,Average,Very little,High,70,1,High,1
101,11,14,15,Average,Very much,Low,30,1,Low,1
101,11,15,19,A lot,A lot,Normal,50,1,Normal,1
101,11,16,1,Very little,Very little,Normal,50,1,Normal,1
101,11,17,25,Very much,Very much,Normal,50,1,Normal,1
101,11,18,3,Very little,Average,Low,30,1,Low,1
101,11,19,5,Very little,Very much,Extremely low,10,1,Extremely low,1
101,11,20,22,Very much,A little,Very high,80,1,Very high,1
101,11,21,20,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,11,22,10,A little,Very much,Very low,20,1,Very low,1
101,11,23,9,A little,A lot,Low,30,1,Low,1
101,11,24,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,11,25,6,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,12,26,16,A lot,Very little,Very high,80,1,Very high,1
101,12,27,13,Average,Average,Normal,50,1,Normal,1
101,12,28,20,A lot,Very much,Somewhat low,60,1,Somewhat high,1
101,12,29,10,A little,Very much,Very low,20,1,Very low,1
101,12,30,1,Very little,Very little,Normal,50,1,Normal,1
101,12,31,14,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,12,32,6,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,12,33,23,Very much,Average,High,70,1,High,1
101,12,34,12,Average,A little,Somewhat high,60,1,Somewhat high,1
101,12,35,24,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,12,36,19,A lot,A lot,Normal,50,1,Normal,1
101,12,37,5,Very little,Very much,Extremely low,10,1,Extremely low,1
101,12,38,21,Very much,Very little,Extremely high,90,1,Extremely high,1
101,12,39,4,Very little,A lot,Very low,20,1,Very low,1
101,12,40,25,Very much,Very much,Normal,50,1,Normal,1
101,12,41,7,A little,A little,Normal,50,1,Normal,1
101,12,42,15,Average,Very much,Low,30,1,Low,1
101,12,43,8,A little,Average,Somewhat low,40,1,Somewhat low,1
101,12,44,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,12,45,3,Very little,Average,Low,30,1,Low,1
101,12,46,22,Very much,A little,Very high,80,1,Very high,1
101,12,47,18,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,12,48,17,A lot,A little,High,70,1,High,1
101,12,49,9,A little,A lot,Low,30,1,Low,1
101,12,50,11,Average,Very little,High,70,1,High,1
102,1,1,22,5,4,60,50,2,50,1
102,1,2,10,3,1,70,50,2,50,1
102,1,3,4,1,4,20,60,2,60,1
102,1,4,17,4,3,60,30,2,30,1
102,1,5,8,2,4,30,40,2,40,1
102,1,6,11,3,2,60,80,2,80,1
102,1,7,6,2,2,50,30,2,30,1
102,1,8,13,3,4,40,60,2,60,1
102,1,9,9,2,5,20,40,2,40,1
102,1,10,20,5,2,80,70,2,70,1
102,1,11,19,4,5,40,30,2,30,1
102,1,12,12,3,3,50,70,2,70,1
102,1,13,18,4,4,50,30,2,30,1
102,1,14,16,4,2,70,80,2,80,1
102,1,15,23,5,5,50,50,2,50,1
102,1,16,2,1,2,40,70,2,70,1
102,1,17,3,1,3,30,20,2,20,1
102,1,18,14,3,5,30,90,2,90,1
102,1,19,15,4,1,80,50,2,50,1
102,1,20,21,5,3,70,60,2,60,1
102,1,21,1,1,1,50,50,2,50,1
102,1,22,7,2,3,40,70,2,70,1
102,1,23,5,2,1,60,40,2,40,1
102,2,24,2,1,2,40,70,2,70,1
102,2,25,22,5,4,60,60,2,60,1
102,2,26,20,5,2,80,30,2,30,1
102,2,27,21,5,3,70,80,2,80,1
102,2,28,5,2,1,60,50,2,50,1
102,2,29,23,5,5,50,90,2,90,1
102,2,30,18,4,4,50,30,2,30,1
102,2,31,8,2,4,30,80,2,80,1
102,2,32,17,4,3,60,60,2,60,1
102,2,33,7,2,3,40,80,2,80,1
102,2,34,14,3,5,30,30,2,30,1
102,2,35,12,3,3,50,60,2,60,1
102,2,36,11,3,2,60,70,2,70,1
102,2,37,3,1,3,30,50,2,50,1
102,2,38,9,2,5,20,40,2,40,1
102,2,39,1,1,1,50,80,2,80,1
102,2,40,10,3,1,70,30,2,30,1
102,2,41,16,4,2,70,60,2,60,1
102,2,42,6,2,2,50,60,2,60,1
102,2,43,13,3,4,40,80,2,80,1
102,2,44,19,4,5,40,60,2,60,1
102,2,45,15,4,1,80,40,2,40,1
102,2,46,4,1,4,20,80,2,80,1
102,3,47,16,4,2,70,50,2,50,1
102,3,48,19,4,5,40,70,2,70,1
102,3,49,3,1,3,30,50,2,50,1
102,3,50,8,2,4,30,40,2,40,1
102,3,51,13,3,4,40,80,2,80,1
102,3,52,4,1,4,20,70,2,70,1
102,3,53,14,3,5,30,50,2,50,1
102,3,54,23,5,5,50,50,2,50,1
102,3,55,9,2,5,20,70,2,70,1
102,3,56,5,2,1,60,60,2,60,1
102,3,57,1,1,1,50,80,2,80,1
102,3,58,6,2,2,50,40,2,40,1
102,3,59,7,2,3,40,50,2,50,1
102,3,60,22,5,4,60,60,2,60,1
102,3,61,18,4,4,50,50,2,50,1
102,3,62,15,4,1,80,70,2,70,1
102,3,63,12,3,3,50,50,2,50,1
102,3,64,11,3,2,60,60,2,60,1
102,3,65,2,1,2,40,40,2,40,1
102,3,66,17,4,3,60,70,2,70,1
102,3,67,21,5,3,70,50,2,50,1
102,3,68,20,5,2,80,70,2,70,1
102,3,69,10,3,1,70,30,2,30,1
102,4,70,13,3,4,40,80,2,80,1
102,4,71,17,4,3,60,50,2,50,1
102,4,72,10,3,1,70,30,2,30,1
102,4,73,22,5,4,60,70,2,70,1
102,4,74,19,4,5,40,70,2,70,1
102,4,75,18,4,4,50,30,2,30,1
102,4,76,6,2,2,50,60,2,60,1
102,4,77,21,5,3,70,50,2,50,1
102,4,78,5,2,1,60,80,2,80,1
102,4,79,8,2,4,30,60,2,60,1
102,4,80,15,4,1,80,50,2,50,1
102,4,81,11,3,2,60,40,2,40,1
102,4,82,23,5,5,50,60,2,60,1
102,4,83,14,3,5,30,70,2,70,1
102,4,84,4,1,4,20,50,2,50,1
102,4,85,9,2,5,20,70,2,70,1
102,4,86,3,1,3,30,30,2,30,1
102,4,87,7,2,3,40,40,2,40,1
102,4,88,1,1,1,50,30,2,30,1
102,4,89,12,3,3,50,60,2,60,1
102,4,90,20,5,2,80,60,2,60,1
102,4,91,16,4,2,70,50,2,50,1
102,4,92,2,1,2,40,80,2,80,1
102,5,93,12,3,3,50,40,2,40,1
102,5,94,11,3,2,60,70,2,70,1
102,5,95,8,2,4,30,30,2,30,1
102,5,96,21,5,3,70,70,2,70,1
102,5,97,18,4,4,50,60,2,60,1
102,5,98,19,4,5,40,60,2,60,1
102,5,99,1,1,1,50,40,2,40,1
102,5,100,5,2,1,60,30,2,30,1
102,5,101,16,4,2,70,90,2,90,1
102,5,102,15,4,1,80,60,2,60,1
102,5,103,17,4,3,60,20,2,20,1
102,5,104,6,2,2,50,30,2,30,1
102,5,105,14,3,5,30,20,2,20,1
102,5,106,23,5,5,50,50,2,50,1
102,5,107,22,5,4,60,40,2,40,1
102,5,108,4,1,4,20,10,2,10,1
102,5,109,7,2,3,40,60,2,60,1
102,5,110,3,1,3,30,30,2,30,1
102,5,111,9,2,5,20,20,2,20,1
102,5,112,13,3,4,40,20,2,20,1
102,5,113,10,3,1,70,20,2,20,1
102,5,114,2,1,2,40,60,2,60,1
102,5,115,20,5,2,80,20,2,20,1
102,6,116,21,5,3,70,20,2,20,1
102,6,117,14,3,5,30,20,2,20,1
102,6,118,9,2,5,20,90,2,90,1
102,6,119,15,4,1,80,30,2,30,1
102,6,120,20,5,2,80,30,2,30,1
102,6,121,8,2,4,30,40,2,40,1
102,6,122,12,3,3,50,50,2,50,1
102,6,123,16,4,2,70,60,2,60,1
102,6,124,19,4,5,40,70,2,70,1
102,6,125,6,2,2,50,20,2,20,1
102,6,126,17,4,3,60,20,2,20,1
102,6,127,23,5,5,50,20,2,20,1
102,6,128,1,1,1,50,30,2,30,1
102,6,129,2,1,2,40,30,2,30,1
102,6,130,3,1,3,30,50,2,50,1
102,6,131,22,5,4,60,20,2,20,1
102,6,132,18,4,4,50,20,2,20,1
102,6,133,4,1,4,20,10,2,10,1
102,6,134,7,2,3,40,20,2,20,1
102,6,135,5,2,1,60,60,2,60,1
102,6,136,13,3,4,40,40,2,40,1
102,6,137,10,3,1,70,30,2,30,1
102,6,138,11,3,2,60,30,2,30,1
102,7,139,21,5,3,70,60,2,60,1
102,7,140,10,3,1,70,70,2,70,1
102,7,141,9,2,5,20,60,2,60,1
102,7,142,8,2,4,30,20,2,20,1
102,7,143,15,4,1,80,30,2,30,1
102,7,144,22,5,4,60,40,2,40,1
102,7,145,12,3,3,50,30,2,30,1
102,7,146,11,3,2,60,60,2,60,1
102,7,147,2,1,2,40,30,2,30,1
102,7,148,1,1,1,50,60,2,60,1
102,7,149,17,4,3,60,20,2,20,1
102,7,150,6,2,2,50,30,2,30,1
102,7,151,13,3,4,40,20,2,20,1
102,7,152,14,3,5,30,20,2,20,1
102,7,153,16,4,2,70,30,2,30,1
102,7,154,7,2,3,40,10,2,10,1
102,7,155,20,5,2,80,30,2,30,1
102,7,156,5,2,1,60,20,2,20,1
102,7,157,4,1,4,20,40,2,40,1
102,7,158,3,1,3,30,10,2,10,1
102,7,159,23,5,5,50,10,2,10,1
102,7,160,19,4,5,40,40,2,40,1
102,7,161,18,4,4,50,20,2,20,1
102,8,162,17,4,3,60,10,2,10,1
102,8,163,21,5,3,70,30,2,30,1
102,8,164,13,3,4,40,20,2,20,1
102,8,165,14,3,5,30,20,2,20,1
102,8,166,9,2,5,20,60,2,60,1
102,8,167,4,1,4,20,70,2,70,1
102,8,168,2,1,2,40,60,2,60,1
102,8,169,12,3,3,50,80,2,80,1
102,8,170,16,4,2,70,50,2,50,1
102,8,171,3,1,3,30,40,2,40,1
102,8,172,18,4,4,50,70,2,70,1
102,8,173,10,3,1,70,50,2,50,1
102,8,174,7,2,3,40,70,2,70,1
102,8,175,5,2,1,60,50,2,50,1
102,8,176,6,2,2,50,60,2,60,1
102,8,177,11,3,2,60,50,2,50,1
102,8,178,1,1,1,50,70,2,70,1
102,8,179,22,5,4,60,60,2,60,1
102,8,180,23,5,5,50,50,2,50,1
102,8,181,15,4,1,80,80,2,80,1
102,8,182,20,5,2,80,40,2,40,1
102,8,183,8,2,4,30,60,2,60,1
102,8,184,19,4,5,40,60,2,60,1
102,9,185,17,4,3,60,50,2,50,1
102,9,186,14,3,5,30,70,2,70,1
102,9,187,6,2,2,50,40,2,40,1
102,9,188,21,5,3,70,60,2,60,1
102,9,189,19,4,5,40,50,2,50,1
102,9,190,9,2,5,20,60,2,60,1
102,9,191,2,1,2,40,20,2,20,1
102,9,192,4,1,4,20,70,2,70,1
102,9,193,22,5,4,60,50,2,50,1
102,9,194,10,3,1,70,60,2,60,1
102,9,195,18,4,4,50,70,2,70,1
102,9,196,1,1,1,50,60,2,60,1
102,9,197,7,2,3,40,70,2,70,1
102,9,198,16,4,2,70,70,2,70,1
102,9,199,12,3,3,50,40,2,40,1
102,9,200,5,2,1,60,70,2,70,1
102,9,201,15,4,1,80,50,2,50,1
102,9,202,23,5,5,50,70,2,70,1
102,9,203,11,3,2,60,40,2,40,1
102,9,204,20,5,2,80,80,2,80,1
102,9,205,3,1,3,30,60,2,60,1
102,9,206,13,3,4,40,50,2,50,1
102,9,207,8,2,4,30,60,2,60,1
102,10,208,9,2,5,20,50,2,50,1
102,10,209,8,2,4,30,30,2,30,1
102,10,210,16,4,2,70,60,2,60,1
102,10,211,22,5,4,60,70,2,70,1
102,10,212,2,1,2,40,50,2,50,1
102,10,213,12,3,3,50,60,2,60,1
102,10,214,11,3,2,60,40,2,40,1
102,10,215,15,4,1,80,70,2,70,1
102,10,216,21,5,3,70,60,2,60,1
102,10,217,4,1,4,20,60,2,60,1
102,10,218,3,1,3,30,50,2,50,1
102,10,219,7,2,3,40,80,2,80,1
102,10,220,19,4,5,40,60,2,60,1
102,10,221,20,5,2,80,50,2,50,1
102,10,222,5,2,1,60,70,2,70,1
102,10,223,13,3,4,40,60,2,60,1
102,10,224,6,2,2,50,50,2,50,1
102,10,225,10,3,1,70,70,2,70,1
102,10,226,17,4,3,60,60,2,60,1
102,10,227,23,5,5,50,50,2,50,1
102,10,228,1,1,1,50,40,2,40,1
102,10,229,14,3,5,30,40,2,40,1
102,10,230,18,4,4,50,30,2,30,1
102,11,1,7,2,2,50,70,2,70,1
102,11,2,15,3,5,30,50,2,50,1
102,11,3,11,3,1,70,60,2,60,1
102,11,4,21,5,1,90,60,2,60,1
102,11,5,14,3,4,40,60,2,60,1
102,11,6,20,4,5,40,30,2,30,1
102,11,7,8,2,3,40,30,2,30,1
102,11,8,24,5,4,60,30,2,30,1
102,11,9,17,4,2,70,30,2,30,1
102,11,10,13,3,3,50,20,2,20,1
102,11,11,19,4,4,50,70,2,70,1
102,11,12,18,4,3,60,20,2,20,1
